sat_id,sat_beam_id,sat_beam_ch_id,macd_id,concat,Ref,FWD Msps,FWD Rolloff,Modulation,Coding Rate,Ideal Spectral Efficiency,MACD_capacity_Mbps,beam-capacity,beam-capacity-lap3
1B,54,1,6,1B5416,1BB054C1-MACD_6,42,0.1,32APSK,0.8,4.1,166.3660385,901.4,820.7
1B,54,1,8,1B5418,1BB054C1-MACD_8,38,0.1,32APSK,0.8,4.1,144.384325,901.4,820.7
1A,55,1,1,1A5511,1AB055C1-MACD_1,52,0.2,32APSK,0.9,4.5,219.9,659.7,1011.7
1A,55,1,2,1A5512,1AB055C1-MACD_2,52,0.2,32APSK,0.9,4.5,219.9,659.7,1011.7
1A,55,1,3,1A5513,1AB055C1-MACD_3,52,0.2,32APSK,0.9,4.4,219.9,659.7,1011.7
1B,55,1,2,1B5512,1BB055C1-MACD_2,52,0.2,32APSK,0.9,4.5,222.65135,689,782.4
1B,55,1,1,1B5511,1BB055C1-MACD_1,52,0.2,32APSK,0.9,4.4,219.8927,689,782.4
1B,55,1,3,1B5513,1BB055C1-MACD_3,52,0.2,32APSK,0.9,4.4,219.8927,689,782.4
1A,56,1,2,1A5612,1AB056C1-MACD_2,52,0.1,32APSK,0.8,4.1,197.57855,625.2,645.9
1A,56,1,1,1A5611,1AB056C1-MACD_1,52,0.1,32APSK,0.8,4,197.57855,625.2,645.9
1A,56,1,3,1A5613,1AB056C1-MACD_3,52,0.1,32APSK,0.8,4,197.57855,625.2,645.9
1B,56,1,2,1B5612,1BB056C1-MACD_2,52,0.1,32APSK,0.8,4,197.57855,595.7,572.7
1B,56,1,3,1B5613,1BB056C1-MACD_3,50,0.1,32APSK,0.8,4,178.0430288,595.7,572.7
1B,56,1,1,1B5611,1BB056C1-MACD_1,52,0.1,32APSK,0.8,3.7,185.16475,595.7,572.7
1A,57,1,3,1A5714,1AB057C1-MACD_4,52,0.2,32APSK,0.9,4.4,219.8927,228.7,410.3
1A,57,1,4,1A5714,1AB057C1-MACD_4,52,0.2,32APSK,0.9,4.4,219.8927,228.7,410.3
1B,57,1,4,1B5714,1BB057C1-MACD_4,50,0.1,32APSK,0.8,3.7,178.0430288,185.2,178
1A,58,1,3,1A5813,1AB058C1-MACD_3,45,0.1,32APSK,0.9,4.4,190.2917596,565.1,543.3
1A,58,1,2,1A5812,1AB058C1-MACD_2,45,0.1,32APSK,0.8,4.1,178.2493269,565.1,543.3
1A,58,1,1,1A5811,1AB058C1-MACD_1,46,0.1,32APSK,0.8,4,174.781025,565.1,543.3
